,Danceability,Energy,Loudness,Speechiness,acousticness,instrumentalness,liveness,valence,tempo,ID_x,index,Playlist Name,Playlist ID,Song,ID_y,Rank,Country
34,0.339,0.214,-11.714,0.0375,0.908,7.47e-06,0.341,0.363,94.775,0lLdorYw7lVrJydTINhWdI,109,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,It's Beginning to Look a Lot like Christmas,0lLdorYw7lVrJydTINhWdI,6,UK
35,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku,130,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Canada
36,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK,131,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,ROXANNE,696DnlkuDOXcMAnKlTgXXK,6,Canada
37,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn,132,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,Canada
38,0.531,0.75,-5.831,0.111,0.00632,7.6e-05,0.117,0.198,169.954,57vxBYXtHMk6H1aD29V7PU,133,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Heartless,57vxBYXtHMk6H1aD29V7PU,6,Canada
39,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,134,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Circles,21jGcNKet2qwijlDFuPiPb,6,Canada
40,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2,210,Hong Kong Top 50,37i9dQZEVXbLwpL8TjsxOG,Señorita,6v3KW9xbzN5yKLt9YKDYA2,6,Hong
41,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM,211,Hong Kong Top 50,37i9dQZEVXbLwpL8TjsxOG,Memories,2b8fOow8UzyDFAE27YhOZM,6,Hong
42,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,212,Hong Kong Top 50,37i9dQZEVXbLwpL8TjsxOG,Circles,21jGcNKet2qwijlDFuPiPb,6,Hong
43,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,3ZCTVFBt2Brf31RLEnCkWJ,213,Hong Kong Top 50,37i9dQZEVXbLwpL8TjsxOG,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,6,Hong
44,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku,214,Hong Kong Top 50,37i9dQZEVXbLwpL8TjsxOG,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Hong
