,Danceability,Energy,Loudness,Speechiness,acousticness,instrumentalness,liveness,valence,tempo,ID
106,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78
107,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
108,0.589,0.472,-8.749,0.0502,0.614,0.0,0.505,0.898,67.196,2EjXfH91m7f8HiJN1yQg97
109,0.339,0.214,-11.714,0.0375,0.908,7.47e-06,0.341,0.363,94.775,0lLdorYw7lVrJydTINhWdI
110,0.68,0.411,-10.319,0.0282,0.43,1.52e-06,0.135,0.251,115.024,0tc8HGXosQDC8TTAaON1TP
111,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
112,0.668,0.767,-5.285,0.0262,0.0602,0.0,0.185,0.705,121.063,4ycKgmGOtvuJZVPyvBpVVU
113,0.515,0.556,-8.755,0.0318,0.178,7.35e-06,0.126,0.381,92.115,2RKLKjagHoASJaW1VTPBgr
114,0.854,0.777,-6.842,0.174,0.0843,0.0,0.137,0.653,107.964,3XlrrR3tR56dRC2sgNNhOD
115,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
116,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
117,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,2gMXnyrvIjhVBUZwvLZDMP
118,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78
119,0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,6WrI0LAC5M1Rw2MnX2ZvEg
120,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
121,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78
122,0.565,0.639,-6.599,0.0301,0.385,0.0,0.105,0.427,90.981,2f82yXiMKGkX2CtbkhgtvT
123,0.903,0.686,-5.065,0.114,0.013,0.0,0.0484,0.686,114.98,2xeiAqqHWYXQMWk6s2aQdw
124,0.525,0.621,-7.364,0.116,0.0489,0.0,0.294,0.591,191.9,0lizgQ7Qw35od7CYaoMBZb
125,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
126,0.654,0.672,-5.98,0.311,0.471,0.0,0.0781,0.343,181.857,5stPVcRqb4qixbafP9e8lt
127,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
128,0.795,0.715,-3.582,0.0838,0.141,2.12e-06,0.179,0.758,165.941,1Xnn1TPyr5h0hpRAT4B4EA
129,0.727,0.815,-2.454,0.153,0.0258,0.0,0.231,0.677,176.075,5Id5B3dxJZhPcV9GzgYZZe
130,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
131,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
132,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
133,0.531,0.75,-5.831,0.111,0.00632,7.6e-05,0.117,0.198,169.954,57vxBYXtHMk6H1aD29V7PU
134,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb
135,0.669,0.698,-4.613,0.091,0.571,0.0,0.102,0.286,80.003,0KWnRv3wxjltYVB3MqjNd2
136,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2
137,0.512,0.35,-11.843,0.0311,0.478,1.15e-06,0.0855,0.343,152.023,56wVfJKtnwlSZtC4NVgIrf
138,0.36,0.233,-11.512,0.0509,0.9,3.96e-06,0.106,0.37,77.436,6iNH42q8haGYDYGhKK6XiJ
139,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
140,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
141,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
142,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
143,0.882,0.78,-4.256,0.0939,0.159,5.22e-05,0.0973,0.867,117.945,2tnVG71enUj33Ic2nFN6kZ
144,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,3ZCTVFBt2Brf31RLEnCkWJ
145,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
146,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78
147,0.426,0.4,-11.407,0.0908,0.706,0.0,0.115,0.221,170.004,55sNf76dIok3ddZtFiNaaf
148,0.721,0.651,-7.962,0.41,0.324,0.0,0.259,0.233,148.744,2dvxMlIfGY90Wvw8OSgZoF
149,0.715,0.566,-8.426,0.326,0.394,0.0,0.294,0.651,155.97,6STE4z6PBDVmCsIHejY66L
