,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID
19,Japan,ノーダウト,No Doubt,The Singles 1992-2003,Pop,5,Spotify,6urCAbunOQI4bLhmGpX7iS
20,France,Ne reviens pas,Salomé Leclerc,Sous les arbres,French Pop,1,Spotify,0kp0ovTvyYUdoexEt7AcoL
21,France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,2,Spotify,2XU0oxnq2qxCpomAAuJY8K
22,France,Popopop,musiqman Jr.,Musiqruisin',R&B/Soul,3,Spotify,18HNGxDOcshRU2Hdu8tMOM
23,France,Mayday (feat. Ninho),SCH,Rooftop,Hip-Hop/Rap,4,Spotify,1SVuEeerYIwjCRsF5MGzX3
24,France,Jamais,Charlotte Gainsbourg,5:55,Alternative,5,Spotify,0eeeyCAGnGZInPtpkdYiPa
25,US,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,1,Spotify,285pBltuF7vW8TeWk8hdRR
26,US,Bandit (with YoungBoy Never Broke Again),Juice WRLD & YoungBoy Never Broke Again,Bandit - Single,Hip-Hop/Rap,2,Spotify,6Gg1gjgKi2AK4e0qzsR7sd
27,US,Robbery,Juice WRLD,Death Race for Love,Hip-Hop/Rap,3,Spotify,6Hj9jySrnFppAI0sEMCZpJ
28,US,Legends,Juice WRLD,Legends - Single,Hip-Hop/Rap,4,Spotify,1Knctxx9vGZxpZfF66BIEa
29,US,All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,5,Spotify,4VXIryQMWpIdGgYR4TrjT1
30,UK,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K
31,UK,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,2,Spotify,285pBltuF7vW8TeWk8hdRR
32,UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify,0bYg9bo50gSsH3LtXe2SQn
33,UK,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,Hip-Hop/Rap,4,Spotify,07s9NNOT0sZQp7TyolLLgu
34,UK,Last Christmas,Wham!,Last Christmas - Single,Holiday,5,Spotify,6wn2nmFn3wDuiMldRiuRuL
35,Canada,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,1,Spotify,285pBltuF7vW8TeWk8hdRR
36,Canada,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,2,Spotify,2XU0oxnq2qxCpomAAuJY8K
37,Canada,Bandit (with YoungBoy Never Broke Again),Juice WRLD & YoungBoy Never Broke Again,Bandit - Single,Hip-Hop/Rap,3,Spotify,6Gg1gjgKi2AK4e0qzsR7sd
38,Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,4,Spotify,696DnlkuDOXcMAnKlTgXXK
39,Canada,Robbery,Juice WRLD,Death Race for Love,Hip-Hop/Rap,5,Spotify,6Hj9jySrnFppAI0sEMCZpJ
40,Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,1,Spotify,0TK2YIli7K1leLovkQiNik
41,Hong Kong,Memories,Maroon 5,Memories - Single,Pop,2,Spotify,2b8fOow8UzyDFAE27YhOZM
42,Hong Kong,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify,21jGcNKet2qwijlDFuPiPb
43,Hong Kong,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,4,Spotify,285pBltuF7vW8TeWk8hdRR
44,Hong Kong,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,5,Spotify,3ZCTVFBt2Brf31RLEnCkWJ
