,Playlist Name,Playlist ID,Name,ID,Rank,Country
101,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,Fantasias,6mAN61JH0dzyZpWslS11jy,2,Peru
102,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,3,Peru
103,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,China,2ksOAxtIxY8yElEWw8RhgK,4,Peru
104,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,5,Peru
105,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,1,UK
106,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,2,UK
107,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,3,UK
108,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Own It (feat. Ed Sheeran & Burna Boy),07s9NNOT0sZQp7TyolLLgu,4,UK
109,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Before You Go,2gMXnyrvIjhVBUZwvLZDMP,5,UK
110,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,Hei rakas,0tc8HGXosQDC8TTAaON1TP,1,Finland
111,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2,Finland
112,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,3,Finland
113,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,4,Finland
114,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,Falling,4TnjEaWOeW0eKTKIEvJyCa,5,Finland
115,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,Before You Go,2gMXnyrvIjhVBUZwvLZDMP,1,Ireland
116,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,2,Ireland
117,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,3,Ireland
118,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,4,Ireland
119,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,5,Ireland
120,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,Kærlighed (feat. Gilli & Kesi),2xeiAqqHWYXQMWk6s2aQdw,1,Denmark
121,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,2,Denmark
122,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,3,Denmark
123,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,4,Denmark
124,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,Tinka,2f82yXiMKGkX2CtbkhgtvT,5,Denmark
125,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Tusa,7k4t7uLgtOxPwTpFmtJNTY,1,Paraguay
126,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Hola - Remix,5stPVcRqb4qixbafP9e8lt,2,Paraguay
127,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Fantasias,6mAN61JH0dzyZpWslS11jy,3,Paraguay
128,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Bellaquita - Remix,1Xnn1TPyr5h0hpRAT4B4EA,4,Paraguay
129,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Quizas,5Id5B3dxJZhPcV9GzgYZZe,5,Paraguay
130,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,1,Canada
131,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,ROXANNE,696DnlkuDOXcMAnKlTgXXK,2,Canada
132,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,3,Canada
133,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,4,Canada
134,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Circles,21jGcNKet2qwijlDFuPiPb,5,Canada
135,Taiwan Top 50,37i9dQZEVXbMnZEatlMSiu,Without You,0KWnRv3wxjltYVB3MqjNd2,1,Taiwan
136,Taiwan Top 50,37i9dQZEVXbMnZEatlMSiu,Señorita,6v3KW9xbzN5yKLt9YKDYA2,2,Taiwan
137,Taiwan Top 50,37i9dQZEVXbMnZEatlMSiu,說好不哭,56wVfJKtnwlSZtC4NVgIrf,3,Taiwan
138,Taiwan Top 50,37i9dQZEVXbMnZEatlMSiu,Memories,2b8fOow8UzyDFAE27YhOZM,4,Taiwan
139,Taiwan Top 50,37i9dQZEVXbMnZEatlMSiu,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,6iNH42q8haGYDYGhKK6XiJ,5,Taiwan
140,Poland Top 50,37i9dQZEVXbN6itCcaL3Tt,Jesteś ładniejsza niż na zdjęciach (na zawsze),55sNf76dIok3ddZtFiNaaf,1,Poland
141,Poland Top 50,37i9dQZEVXbN6itCcaL3Tt,VOGUE,0XthAWvbDoOunjDceV6Jq2,2,Poland
