,Country,Artist(s),Song Title,Rank,Source,Album,Genre,Spotify_ID,Country_ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
60,Netherlands,Billie Eilish,everything i wanted,,Apple,everything i wanted - Single,Alternative,3ZCTVFBt2Brf31RLEnCkWJ,7,0.704,0.225,6,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,245426
61,Netherlands,The Weeknd,Blinding Lights,,Apple,Blinding Lights - Single,R&B/Soul,0sf12qNH5qcw8qpgymFOqD,7,0.513,0.796,1,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573
62,Netherlands,Mariah Carey,All I Want For Christmas Is You,,Apple,Merry Christmas,Feestdagen,0bYg9bo50gSsH3LtXe2SQn,7,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
63,Netherlands,Dua Lipa,Don't Start Now,,Apple,Don't Start Now - Single,Pop,6WrI0LAC5M1Rw2MnX2ZvEg,7,0.794,0.793,11,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
64,Netherlands,Toto,Africa,1.0,LastFM,Toto IV,,2374M0fQpWi3dLnB54qaLX,7,0.671,0.373,9,-18.064,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893
65,Netherlands,Dire Straits,Sultans of Swing,2.0,LastFM,Dire Straits,,6cr6UDpkjEaMQ80OjWqEBQ,7,0.73,0.868,5,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400
66,Netherlands,Adele,Hello,3.0,LastFM,25,,4sPmO7WMQUAf45kwMOtONw,7,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
67,Netherlands,Nirvana,Smells Like Teen Spirit,4.0,LastFM,Nevermind,,5ghIJDpPoe3CfHMGu71E6T,7,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
68,Netherlands,Oasis,Wonderwall,5.0,LastFM,(What's the Story) Morning Glory?,,5wj4E6IsrVtn8IBJQOd0Cl,7,0.372,0.865,2,-4.918,0.0381,0.000453,0.0,0.234,0.478,174.53,258733
69,Russia,GAYAZOV$ BROTHER$,Увезите меня на Дип-хаус,,Apple,Увезите меня на Дип-хаус - Single,Поп,6Dh32tS5znKbryJdHXSRrC,8,0.663,0.731,11,-5.983,0.0665,0.0759,0.0,0.203,0.39,124.914,176640
70,Russia,NILETTO,Любимка,,Apple,Любимка - Single,Поп,1q7Ie8Tgphv4iBwUlr5B9j,8,0.852,0.767,7,-4.197,0.0705,0.115,1.7e-06,0.811,0.535,130.022,219692
71,Russia,JONY,Комета,,Apple,Комета - Single,Поп,1tjM9dP8GWkYl4orF7yLWD,8,0.618,0.619,0,-4.569,0.0739,0.609,0.0,0.0949,0.268,139.974,161143
72,Russia,Tones and I,Dance Monkey,,Apple,The Kids Are Coming - EP,Альтернатива,2XU0oxnq2qxCpomAAuJY8K,8,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
73,Russia,THRILL PILL,Грустная Песня (feat. Егор Крид & MORGENSHTERN),,Apple,ОТКРОВЕНИЯ,Хип-хоп,7a7jc9S9p4dz5eWQVtvSUp,8,0.881,0.563,0,-5.549,0.0437,0.114,0.0,0.178,0.524,95.012,226495
74,Russia,Nirvana,Smells Like Teen Spirit,1.0,LastFM,Nevermind,,5ghIJDpPoe3CfHMGu71E6T,8,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
75,Russia,The White Stripes,Seven Nation Army,2.0,LastFM,Elephant,,7i6r9KotUPQg3ozKKgEPIN,8,0.737,0.463,0,-7.828,0.0792,0.00817,0.447,0.255,0.324,123.881,231733
76,Russia,Linkin Park,Numb,3.0,LastFM,Meteora,,4rhr8LgQoPtWkQaXVPSNOO,8,0.683,0.0759,11,-10.567,0.032,0.902,0.0,0.089,0.74,93.186,82470
77,Russia,The xx,Intro,4.0,LastFM,xx,,77KMttn3Lic7ZQKDlPqp8v,8,0.862,0.685,0,-7.699,0.242,0.0342,0.0,0.204,0.672,100.024,172800
78,Russia,Linkin Park,In the End,5.0,LastFM,Greatest Hits,,60a0Rd6pjrkxjPbaKzXjfq,8,0.556,0.864,3,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,216880
79,UK,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),,Apple,Heavy Is The Head,Hip-Hop/Rap,07s9NNOT0sZQp7TyolLLgu,9,0.817,0.781,7,-4.178,0.112,0.00838,5.21e-06,0.123,0.359,104.0,216707
80,UK,Tones and I,Dance Monkey,,Apple,Dance Monkey - Single,Alternative,2XU0oxnq2qxCpomAAuJY8K,9,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
81,UK,Lewis Capaldi,Before You Go,,Apple,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,7ce20yLkzuXXLUhzIDoZih,9,0.459,0.575,3,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,215107
82,UK,Mariah Carey,All I Want For Christmas Is You,,Apple,Merry Christmas,Christmas,0bYg9bo50gSsH3LtXe2SQn,9,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
83,UK,Dua Lipa,Don't Start Now,,Apple,Don't Start Now - Single,Pop,6WrI0LAC5M1Rw2MnX2ZvEg,9,0.794,0.793,11,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
