,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID
78,UK,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
79,UK,Seven Nation Army,The White Stripes,Elephant,Alternative,5,LastFM,7i6r9KotUPQg3ozKKgEPIN
80,Germany,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM,5ghIJDpPoe3CfHMGu71E6T
81,Germany,Africa,Toto,Toto IV,Rock,2,LastFM,2374M0fQpWi3dLnB54qaLX
82,Germany,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM,7oK9VyNzrYvRFo7nQEYkWN
83,Germany,Come as You Are,Nirvana,Nevermind,Rock,4,LastFM,4P5KoWXOxwuobLmHXLMobV
84,Germany,Hello,Adele,25,Pop,5,LastFM,4sPmO7WMQUAf45kwMOtONw
85,US,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM,22VdIZQfgXJea34mQxlt81
86,US,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM,0wwPcA6wtMf6HUMpIRdeP7
87,US,The Less I Know the Better,Tame Impala,Currents,Alternative,3,LastFM,6K4t31amVTZDgR3sKmwUJJ
88,US,Mr. Brightside,The Killers,Hot Fuss,Rock,4,LastFM,7oK9VyNzrYvRFo7nQEYkWN
89,US,Hello,Adele,25,Pop,5,LastFM,4sPmO7WMQUAf45kwMOtONw
90,Germany,KEIN SCHLAF,LGM,Kein Schlaf - Single,Hip-Hop/Rap,1,Spotify,6416zJN0FGPmh1Ph4BH2h3
91,Germany,COLT,Afroman,The Good Times,Hip-Hop/Rap,2,Spotify,1ACZpHI5vZ5Ea4xGlkdGWM
92,Germany,Roller,April Wine,Classic Masters: April Wine (Remastered),Rock,3,Spotify,69M9QCMsCQ5MLsw7BBW0rL
93,Germany,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,4,Spotify,2XU0oxnq2qxCpomAAuJY8K
94,Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,5,Spotify,2M39v73rNJmAXUXIW0oagP
95,Netherlands,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K
96,Netherlands,Pa Olvidarte,"ChocQuibTown, Zion & Lennox & Farruko",Pa Olvidarte (Remix) [feat. Manuel Turizo] - Single,Urbano latino,2,Spotify,2ktoFujjJtantyMoVdBJlX
97,Netherlands,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify,0bYg9bo50gSsH3LtXe2SQn
98,Netherlands,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,4,Spotify,696DnlkuDOXcMAnKlTgXXK
99,Netherlands,Memories,Maroon 5,Memories - Single,Pop,5,Spotify,2b8fOow8UzyDFAE27YhOZM
100,Australia,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K
101,Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Spotify,696DnlkuDOXcMAnKlTgXXK
102,Australia,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify,21jGcNKet2qwijlDFuPiPb
103,Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,4,Spotify,6WrI0LAC5M1Rw2MnX2ZvEg
104,Australia,Memories,Maroon 5,Memories - Single,Pop,5,Spotify,2b8fOow8UzyDFAE27YhOZM
105,Japan,Pretender,Steve Aoki,Pretender (feat. Lil Yachty & AJR) - Single,Dance,1,Spotify,7x8dCjCr0x6x2lXKujYD34
106,Japan,Hakujitsu,King Gnu,Hakujitsu - Single,J-Pop,2,Spotify,0mNO3xUzjsI17GXO1DRFCH
107,Japan,宿命,Yasuharu Takanashi,"""Fairy Tail"" Original Soundtrack Vol.1",Anime,3,Spotify,1T6Db8pPGs2CaMGKQwfR5o
108,Japan,イエスタデイ,The Beatles,1 (2015 Version),Rock,4,Spotify,270LcmQ5eUlY2Sl6Y4L6Wn
109,Japan,ノーダウト,No Doubt,The Singles 1992-2003,Pop,5,Spotify,6urCAbunOQI4bLhmGpX7iS
110,France,Ne reviens pas,Gradur,Zone 59,Hip-Hop/Rap,1,Spotify,0kp0ovTvyYUdoexEt7AcoL
111,France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,2,Spotify,2XU0oxnq2qxCpomAAuJY8K
112,France,Popopop,musiqman Jr.,Musiqruisin',R&B/Soul,3,Spotify,18HNGxDOcshRU2Hdu8tMOM
113,France,Mayday (feat. Ninho),SCH,Rooftop,Hip-Hop/Rap,4,Spotify,1SVuEeerYIwjCRsF5MGzX3
114,France,Hé oh,OneRepublic,Oh My My,Pop,5,Spotify,1bWafkUCOp6luXRs1cm3w9
115,US,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,1,Spotify,696DnlkuDOXcMAnKlTgXXK
