,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
62,Canada,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
63,Canada,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
64,Canada,The Less I Know the Better,Tame Impala,Currents,Alternative,5,LastFM,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,4,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320
65,France,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
66,France,Creep,Radiohead,Pablo Honey,Alternative,2,LastFM,6b2oQwSGFkzsMtQruIWm2p,0.515,0.43,7,-9.935,0.0369,0.0102,0.000141,0.129,0.104,91.841,238640
67,France,Come,Jain,Zanaka,Pop,3,LastFM,3TTMUI5dFcbeNSDTTDY9M8,0.679,0.728,5,-3.092,0.154,0.159,0.0,0.107,0.46,152.001,181013
68,France,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,4,LastFM,5wj4E6IsrVtn8IBJQOd0Cl,0.372,0.865,2,-4.918,0.0381,0.000453,0.0,0.234,0.478,174.53,258733
69,France,Karma Police,Radiohead,OK Computer,Alternative,5,LastFM,3SVAN3BRByDmHOhKyIDxfC,0.36,0.505,7,-9.129,0.026,0.0626,9.22e-05,0.172,0.317,74.807,264067
70,Japan,ロビンソン,スピッツ,ハチミツ,Pop,1,LastFM,4SBVWkRIMJ6WBCYPvr5Bwr,0.676,0.56,4,-6.024,0.0643,0.0112,0.00403,0.137,0.551,178.555,219332
71,Japan,花束を君に,宇多田ヒカル,花束を君に,J-Pop,2,LastFM,31yv1hR9gw1WSEmtqsaZbD,0.521,0.539,4,-7.667,0.029,0.538,0.0,0.307,0.358,81.979,278240
72,Japan,新宝島,サカナクション,新宝島,Rock,3,LastFM,4a48lWUd64bZgHUDx0GZlj,0.551,0.919,7,-3.484,0.074,0.0013,0.00638,0.352,0.652,157.989,305000
73,Japan,リライト,ASIAN KUNG-FU GENERATION,ソルファ,Anime,4,LastFM,630sXRhIcfwr2e4RdNtjKN,0.684,0.619,10,-7.005,0.0386,0.0716,0.0,0.122,0.284,125.046,217440
74,Japan,道,宇多田ヒカル,Hikaru Utada Laughter in the Dark Tour 2018,Hip-Hop/Rap,5,LastFM,6KAw9NEvkVlIhg5T0G97M8,0.493,0.295,1,-9.924,0.0251,0.494,0.0,0.13,0.301,86.982,277160
