Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID
France,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,4,LastFM,5wj4E6IsrVtn8IBJQOd0Cl
France,Karma Police,Radiohead,OK Computer,Alternative,5,LastFM,3SVAN3BRByDmHOhKyIDxfC
Japan,ロビンソン,スピッツ,ハチミツ,Pop,1,LastFM,4SBVWkRIMJ6WBCYPvr5Bwr
Japan,花束を君に,宇多田ヒカル,花束を君に,J-Pop,2,LastFM,31yv1hR9gw1WSEmtqsaZbD
Japan,新宝島,サカナクション,新宝島,Rock,3,LastFM,4a48lWUd64bZgHUDx0GZlj
Japan,リライト,ASIAN KUNG-FU GENERATION,ソルファ,Anime,4,LastFM,630sXRhIcfwr2e4RdNtjKN
Japan,道,宇多田ヒカル,Hikaru Utada Laughter in the Dark Tour 2018,Hip-Hop/Rap,5,LastFM,6KAw9NEvkVlIhg5T0G97M8
UK,Mr. Brightside,The Killers,Hot Fuss,Rock,1,LastFM,7oK9VyNzrYvRFo7nQEYkWN
UK,Africa,Toto,Toto IV,Rock,2,LastFM,2374M0fQpWi3dLnB54qaLX
UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,LastFM,0bYg9bo50gSsH3LtXe2SQn
UK,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
UK,Seven Nation Army,The White Stripes,Elephant,Alternative,5,LastFM,7i6r9KotUPQg3ozKKgEPIN
Germany,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM,5ghIJDpPoe3CfHMGu71E6T
Germany,Africa,Toto,Toto IV,Rock,2,LastFM,2374M0fQpWi3dLnB54qaLX
Germany,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM,7oK9VyNzrYvRFo7nQEYkWN
Germany,Come as You Are,Nirvana,Nevermind,Rock,4,LastFM,4P5KoWXOxwuobLmHXLMobV
Germany,Hello,Adele,25,Pop,5,LastFM,4sPmO7WMQUAf45kwMOtONw
US,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM,22VdIZQfgXJea34mQxlt81
US,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM,0wwPcA6wtMf6HUMpIRdeP7
US,The Less I Know the Better,Tame Impala,Currents,Alternative,3,LastFM,6K4t31amVTZDgR3sKmwUJJ
US,Mr. Brightside,The Killers,Hot Fuss,Rock,4,LastFM,7oK9VyNzrYvRFo7nQEYkWN
US,Hello,Adele,25,Pop,5,LastFM,4sPmO7WMQUAf45kwMOtONw
Germany,KEIN SCHLAF,LGM,Kein Schlaf - Single,Hip-Hop/Rap,1,Spotify,6416zJN0FGPmh1Ph4BH2h3
Germany,COLT,Afroman,The Good Times,Hip-Hop/Rap,2,Spotify,1ACZpHI5vZ5Ea4xGlkdGWM
Germany,Roller,April Wine,Classic Masters: April Wine (Remastered),Rock,3,Spotify,69M9QCMsCQ5MLsw7BBW0rL
Germany,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,4,Spotify,2XU0oxnq2qxCpomAAuJY8K
Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,5,Spotify,2M39v73rNJmAXUXIW0oagP
Netherlands,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K
Netherlands,Pa Olvidarte,"ChocQuibTown, Zion & Lennox & Farruko",Pa Olvidarte (Remix) [feat. Manuel Turizo] - Single,Urbano latino,2,Spotify,2ktoFujjJtantyMoVdBJlX
Netherlands,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify,0bYg9bo50gSsH3LtXe2SQn
Netherlands,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,4,Spotify,696DnlkuDOXcMAnKlTgXXK
Netherlands,Memories,Maroon 5,Memories - Single,Pop,5,Spotify,2b8fOow8UzyDFAE27YhOZM
Australia,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K
Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Spotify,696DnlkuDOXcMAnKlTgXXK
Australia,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify,21jGcNKet2qwijlDFuPiPb
Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,4,Spotify,6WrI0LAC5M1Rw2MnX2ZvEg
Australia,Memories,Maroon 5,Memories - Single,Pop,5,Spotify,2b8fOow8UzyDFAE27YhOZM
Japan,Pretender,Steve Aoki,Pretender (feat. Lil Yachty & AJR) - Single,Dance,1,Spotify,7x8dCjCr0x6x2lXKujYD34
Japan,Hakujitsu,King Gnu,Hakujitsu - Single,J-Pop,2,Spotify,0mNO3xUzjsI17GXO1DRFCH
Japan,宿命,Yasuharu Takanashi,"""Fairy Tail"" Original Soundtrack Vol.1",Anime,3,Spotify,1T6Db8pPGs2CaMGKQwfR5o
Japan,イエスタデイ,The Beatles,1 (2015 Version),Rock,4,Spotify,270LcmQ5eUlY2Sl6Y4L6Wn
Japan,ノーダウト,No Doubt,The Singles 1992-2003,Pop,5,Spotify,6urCAbunOQI4bLhmGpX7iS
France,Ne reviens pas,Gradur,Zone 59,Hip-Hop/Rap,1,Spotify,0kp0ovTvyYUdoexEt7AcoL
France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,2,Spotify,2XU0oxnq2qxCpomAAuJY8K
France,Popopop,musiqman Jr.,Musiqruisin',R&B/Soul,3,Spotify,18HNGxDOcshRU2Hdu8tMOM
France,Mayday (feat. Ninho),SCH,Rooftop,Hip-Hop/Rap,4,Spotify,1SVuEeerYIwjCRsF5MGzX3
France,Hé oh,OneRepublic,Oh My My,Pop,5,Spotify,1bWafkUCOp6luXRs1cm3w9
US,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,1,Spotify,696DnlkuDOXcMAnKlTgXXK
US,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,2,Spotify,21jGcNKet2qwijlDFuPiPb
US,Heartless,Diplo,Heartless (feat. Morgan Wallen) - Single,Country,3,Spotify,57vxBYXtHMk6H1aD29V7PU
US,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,4,Spotify,0bYg9bo50gSsH3LtXe2SQn
US,Adore You,Harry Styles,Fine Line,Pop,5,Spotify,1M4qEo4HE3PRaCOM7EXNJq
UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,1,Spotify,0bYg9bo50gSsH3LtXe2SQn
UK,Last Christmas,Wham!,Last Christmas - Single,Holiday,2,Spotify,6wn2nmFn3wDuiMldRiuRuL
UK,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,3,Spotify,2XU0oxnq2qxCpomAAuJY8K
UK,Rockin' Around The Christmas Tree,Brenda Lee,20th Century Masters - The Christmas Collection: The Best of Brenda Lee,Holiday,4,Spotify,2EjXfH91m7f8HiJN1yQg97
UK,It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas,Holiday,5,Spotify,5a1iz510sv2W9Dt1MvFd5R
Canada,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K
Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Spotify,696DnlkuDOXcMAnKlTgXXK
Canada,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify,0bYg9bo50gSsH3LtXe2SQn
Canada,Heartless,Diplo,Heartless (feat. Morgan Wallen) - Single,Country,4,Spotify,57vxBYXtHMk6H1aD29V7PU
Canada,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,5,Spotify,21jGcNKet2qwijlDFuPiPb
Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,1,Spotify,0TK2YIli7K1leLovkQiNik
Hong Kong,Memories,Maroon 5,Memories - Single,Pop,2,Spotify,2b8fOow8UzyDFAE27YhOZM
Hong Kong,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify,21jGcNKet2qwijlDFuPiPb
Hong Kong,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,4,Spotify,3ZCTVFBt2Brf31RLEnCkWJ
Hong Kong,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,5,Spotify,2XU0oxnq2qxCpomAAuJY8K
